timestamp,sensor,azimuth,elevation
0.0,EO,75.988,36.014
0.0,EO,84.691,14.971
0.0,EO,153.051,38.735
0.1,EO,75.609,36.054
0.1,EO,82.412,21.505
0.1,EO,84.89,15.339
0.1,EO,101.149,14.795
0.1,EO,58.021,0.319
0.1,EO,107.323,11.882
0.1,EO,33.815,1.819
0.2,EO,75.313,35.931
0.2,EO,82.238,21.598
0.2,EO,84.58,15.126
0.3,EO,82.065,21.486
0.3,EO,84.809,15.262
0.3,EO,51.876,33.81
0.3,EO,142.744,27.887
0.4,EO,74.481,35.627
0.4,EO,81.838,21.713
0.4,EO,84.614,15.174
0.4,EO,134.951,30.438
0.4,EO,134.304,9.389
0.4,EO,89.707,26.472
0.4,EO,0.446,38.518
0.4,EO,109.804,5.811
0.4,EO,146.944,32.268
0.4,EO,136.494,17.642
0.4,EO,153.756,18.631
0.5,EO,74.312,35.823
0.5,EO,81.736,22.041
0.5,EO,84.781,15.291
0.5,EO,97.803,34.442
0.5,EO,93.754,39.071
0.5,EO,19.738,17.142
0.5,EO,91.074,19.455
0.5,EO,19.546,6.909
0.5,EO,150.771,21.797
0.5,EO,8.77,0.742
0.6,EO,74.086,36.086
0.6,EO,81.99,21.486
0.6,EO,84.557,15.177
0.6,EO,84.771,21.604
0.6,EO,179.577,5.15
0.6,EO,153.354,38.866
0.7,EO,73.419,35.702
0.7,EO,81.742,21.41
0.7,EO,84.352,15.177
0.7,EO,154.932,21.731
0.7,EO,150.696,13.805
0.7,EO,137.151,6.32
0.7,EO,55.269,20.058
0.7,EO,58.018,17.416
0.8,EO,73.317,35.849
0.8,EO,84.736,15.173
0.8,EO,144.699,14.763
0.8,EO,145.078,3.906
0.8,EO,7.992,44.895
0.8,EO,156.502,39.728
0.8,EO,171.23,19.724
0.8,EO,51.63,5.851
0.9,EO,73.096,35.54
0.9,EO,40.64,29.522
1.0,EO,72.442,35.582
1.0,EO,81.297,21.781
1.0,EO,84.666,15.007
1.0,EO,100.918,39.832
1.0,EO,121.039,28.923
1.0,EO,34.158,4.787
1.0,EO,173.726,26.949
1.1,EO,72.238,35.369
1.1,EO,80.958,21.717
1.1,EO,84.538,15.268
1.1,EO,136.058,15.752
1.1,EO,70.08,11.118
1.2,EO,72.135,35.316
1.2,EO,81.23,21.679
1.2,EO,38.281,40.876
1.2,EO,160.203,30.575
1.2,EO,43.285,18.891
1.3,EO,71.719,35.432
1.3,EO,81.297,21.409
1.3,EO,84.399,15.122
1.3,EO,9.6,33.204
1.3,EO,30.781,19.157
1.3,EO,87.668,8.301
1.4,EO,80.673,21.774
1.4,EO,84.614,14.956
1.4,EO,76.245,13.474
1.4,EO,8.529,1.115
1.5,EO,71.09,35.053
1.5,EO,80.949,21.442
1.5,EO,84.428,15.251
1.5,EO,114.892,23.172
1.5,EO,153.187,19.411
1.5,EO,147.551,35.971
1.5,EO,173.139,11.201
1.5,EO,127.732,34.061
1.5,EO,168.53,40.811
