timestamp,target_id,x,y,z,vx,vy,vz,status
0,1,-49.0626,4984.03,3034.54,0.0326644,-3.31821,-2.0203,TENTATIVE
0.1,1,-29.5047,4989.35,3025.31,10.2813,-0.53827,-6.46578,TENTATIVE
0.1,2,-7982.35,4969.15,3413.75,87.0635,-54.1986,-37.2338,TENTATIVE
0.1,3,-4.89686,8016.26,2989.19,0.0545614,-89.3183,-33.3059,TENTATIVE
0.2,1,-28.4765,4989.3,3024.66,10.2813,-0.53827,-6.46578,TENTATIVE
0.2,2,-7973.64,4963.73,3410.03,87.0635,-54.1986,-37.2338,TENTATIVE
0.2,3,-2.3545,8006.65,2987.7,2.16976,-89.8887,-31.7728,TENTATIVE
0.4,1,10.9378,4994.81,3014.17,74.7194,8.82681,-21.6884,TENTATIVE
0.4,2,-7956.23,4952.89,3402.58,87.0635,-54.1986,-37.2338,TENTATIVE
0.4,3,8.96235,7986.54,2987.04,15.9894,-92.6659,-24.339,TENTATIVE
0.6,1,40.1106,4997.89,3007.34,95.8036,10.7596,-25.2322,TENTATIVE
0.6,2,-7938.82,4942.05,3395.13,87.0635,-54.1986,-37.2338,TENTATIVE
0.6,3,26.6113,7965.12,2989.8,34.8062,-96.3075,-14.7158,TENTATIVE
0.8,1,70.688,4999.38,3002.89,109.902,10.0655,-24.6009,TENTATIVE
0.8,2,-7921.4,4931.21,3387.68,87.0635,-54.1986,-37.2338,TENTATIVE
0.8,3,59.9286,7942.06,2996.37,65.3879,-100.624,-3.87401,TENTATIVE
1,1,98.1286,5001.15,2997.88,115.902,9.83733,-24.6773,TENTATIVE
1,2,-7903.99,4920.37,3380.24,87.0635,-54.1986,-37.2338,TENTATIVE
1,3,80.2198,7920.87,2998.05,72.6357,-101.669,-1.42764,TENTATIVE
1.1,1,111.913,5004.33,3000.27,118.179,11.3506,-20.2,TENTATIVE
1.1,2,-7895.28,4914.96,3376.51,87.0635,-54.1986,-37.2338,TENTATIVE
1.1,3,93.4144,7914.83,3002.96,78.1728,-100.883,2.11847,TENTATIVE
1.1,4,-1441.47,2224,1755.12,-84.8008,130.837,103.253,TENTATIVE
1.3,1,137.002,5007.19,2995.13,119.491,11.8668,-21.1536,TENTATIVE
1.3,2,-7877.87,4904.12,3369.07,87.0635,-54.1986,-37.2338,TENTATIVE
1.3,3,123.114,7894.39,3003.3,89.8151,-101.08,2.02655,TENTATIVE
