timestamp,sensor,range,azimuth,elevation,radial_velocity
0.0,RADAR,5835.352,90.564,31.334,-3.885
0.0,RADAR,8564.985,90.035,20.45,-95.326
0.0,RADAR,10014.112,148.097,19.954,-109.105
1.0,RADAR,5837.443,89.482,30.834,1.362
1.0,RADAR,8488.451,89.39,20.481,-92.987
1.0,RADAR,3160.053,122.949,33.514,187.004
2.0,RADAR,5842.209,88.206,31.408,3.217
2.0,RADAR,8366.15,89.049,21.305,-89.815
2.0,RADAR,5036.593,122.849,6.289,-120.037
2.0,RADAR,1103.072,141.646,29.918,82.066
3.0,RADAR,5851.66,86.436,30.68,8.145
3.0,RADAR,8302.849,87.12,21.007,-89.148
3.0,RADAR,5255.301,5.547,19.652,-114.166
4.0,RADAR,5845.589,85.048,30.323,7.855
4.0,RADAR,8209.942,86.966,21.496,-86.748
4.0,RADAR,3337.621,4.088,4.052,88.944
5.0,RADAR,5865.394,84.484,30.978,9.454
5.0,RADAR,8110.865,86.166,21.62,-89.851
6.0,RADAR,5866.884,83.546,30.23,9.496
6.0,RADAR,8021.303,85.925,21.438,-85.315
7.0,RADAR,5905.543,81.355,30.836,12.412
7.0,RADAR,7920.859,84.75,21.886,-82.816
7.0,RADAR,10097.852,15.2,18.711,-183.354
8.0,RADAR,5918.238,81.277,31.276,11.232
8.0,RADAR,7846.204,83.656,21.709,-80.336
9.0,RADAR,5904.919,80.142,30.88,19.264
9.0,RADAR,7785.572,82.472,21.579,-79.342
10.0,RADAR,5927.067,78.809,30.902,17.234
10.0,RADAR,5201.195,44.372,34.917,57.64
10.0,RADAR,7702.319,82.552,22.643,-80.465
11.0,RADAR,5985.914,77.371,30.688,16.748
11.0,RADAR,5280.886,46.07,34.691,57.7
11.0,RADAR,7616.359,80.52,22.5,-75.912
11.0,RADAR,5423.007,138.962,29.775,-50.537
11.0,RADAR,2322.533,134.422,11.811,174.725
11.0,RADAR,4373.588,22.096,37.4,-138.686
12.0,RADAR,5995.274,76.14,29.712,21.46
12.0,RADAR,5334.658,46.975,34.434,63.044
12.0,RADAR,7557.527,79.157,23.361,-76.05
12.0,RADAR,12257.743,128.773,33.254,-147.577
13.0,RADAR,6001.656,75.373,29.878,23.782
13.0,RADAR,5415.617,47.858,33.475,60.96
13.0,RADAR,7477.124,78.667,23.676,-71.956
13.0,RADAR,11986.688,3.211,4.911,131.771
13.0,RADAR,12155.439,41.875,23.885,42.406
13.0,RADAR,13148.345,108.559,18.566,-50.326
13.0,RADAR,6962.349,117.348,39.037,-18.441
14.0,RADAR,5997.588,73.999,30.836,29.172
14.0,RADAR,5452.013,48.955,34.249,60.573
14.0,RADAR,7414.722,78.431,23.687,-70.672
15.0,RADAR,5524.119,49.329,33.187,65.673
15.0,RADAR,7338.962,77.222,24.117,-69.781
16.0,RADAR,6108.963,73.492,30.431,27.249
16.0,RADAR,7270.324,75.597,24.952,-65.687
16.0,RADAR,12810.049,162.478,44.081,120.81
17.0,RADAR,6094.781,71.266,29.446,27.501
17.0,RADAR,5672.117,49.889,31.98,66.09
17.0,RADAR,7195.703,74.21,24.757,-60.573
18.0,RADAR,6117.826,70.36,28.818,28.842
18.0,RADAR,5725.019,52.783,32.269,67.606
18.0,RADAR,7144.956,74.414,24.678,-61.651
19.0,RADAR,6135.335,69.774,29.09,33.339
19.0,RADAR,5810.798,53.004,30.481,67.551
19.0,RADAR,7069.959,73.644,25.374,-60.879
19.0,RADAR,9261.063,17.109,27.727,-131.483
20.0,RADAR,6193.87,67.243,29.172,32.603
20.0,RADAR,5875.881,52.305,30.564,69.79
20.0,RADAR,7041.568,71.938,25.702,-58.261
20.0,RADAR,13577.132,137.256,12.174,-54.323
21.0,RADAR,6215.631,67.6,29.349,31.781
21.0,RADAR,5942.917,53.642,30.047,69.905
21.0,RADAR,6963.686,71.261,25.927,-53.015
22.0,RADAR,6249.45,65.439,29.475,34.399
22.0,RADAR,6886.017,68.79,24.911,-53.808
23.0,RADAR,6292.685,64.782,27.338,36.816
23.0,RADAR,6068.298,55.655,29.743,72.712
23.0,RADAR,6867.045,67.861,25.828,-49.291
24.0,RADAR,6333.751,64.417,28.249,39.734
24.0,RADAR,6113.556,55.178,28.124,70.638
24.0,RADAR,6806.426,67.088,26.662,-44.438
25.0,RADAR,6384.987,63.672,27.7,38.23
25.0,RADAR,6192.064,56.337,29.315,76.21
25.0,RADAR,6770.817,65.223,26.547,-44.71
25.0,RADAR,2284.094,33.036,44.101,-16.576
26.0,RADAR,6401.925,62.881,28.107,43.379
26.0,RADAR,6256.377,57.628,28.377,75.745
26.0,RADAR,6719.854,64.652,27.468,-37.596
27.0,RADAR,6462.293,61.399,27.896,41.98
27.0,RADAR,6339.908,56.861,27.142,72.002
27.0,RADAR,4158.3,103.042,25.46,80.801
28.0,RADAR,6491.597,61.252,27.361,45.428
28.0,RADAR,6427.091,59.499,27.932,77.8
28.0,RADAR,6652.548,61.858,26.745,-37.762
29.0,RADAR,6542.725,60.62,27.511,43.971
29.0,RADAR,6497.638,59.196,26.552,74.935
29.0,RADAR,6586.626,61.245,27.432,-34.797
30.0,RADAR,6569.744,60.438,27.341,44.642
30.0,RADAR,6554.787,59.093,27.172,76.083
30.0,RADAR,6582.303,59.557,26.783,-28.675
30.0,RADAR,7275.439,70.663,3.602,102.132
30.0,RADAR,7072.906,84.479,6.78,-127.629
30.0,RADAR,13699.451,8.037,10.478,-83.176
30.0,RADAR,7862.766,105.56,22.198,-166.354
31.0,RADAR,6611.863,58.517,26.827,46.448
31.0,RADAR,6657.823,59.235,27.136,78.208
31.0,RADAR,6556.472,58.015,28.276,-27.717
31.0,RADAR,7983.437,95.654,4.724,-40.579
31.0,RADAR,13842.727,113.55,7.988,-64.458
31.0,RADAR,3682.442,4.468,41.736,-20.717
32.0,RADAR,6650.075,57.539,26.839,46.323
32.0,RADAR,6710.137,60.891,27.073,76.984
32.0,RADAR,6485.913,55.918,27.23,-26.721
33.0,RADAR,6702.843,56.348,26.616,52.487
33.0,RADAR,6813.478,61.604,25.296,75.512
33.0,RADAR,6491.173,55.519,27.604,-25.127
33.0,RADAR,2187.47,99.983,36.093,169.881
34.0,RADAR,6777.04,55.134,26.555,48.314
34.0,RADAR,6866.744,61.373,25.397,76.074
34.0,RADAR,6482.541,53.41,28.302,-19.429
35.0,RADAR,6811.956,55.436,25.807,50.717
35.0,RADAR,6951.405,60.388,26.29,84.284
35.0,RADAR,6432.842,52.156,27.513,-15.872
