timestamp,target_id,x,y,z,vx,vy,vz,status
0,1,-60.6686,4958.46,3047,0.0506601,-4.14046,-2.54433,TENTATIVE
0.1,1,-56.7899,4959.56,3044.34,0.0506601,-4.14046,-2.54433,TENTATIVE
0.1,2,-1434.72,862.953,906.208,-77.8002,46.7951,49.1407,TENTATIVE
0.1,3,582.867,6075.53,914.995,-13.9805,-145.726,-21.9468,TENTATIVE
0.1,4,-5321.02,5499.12,7271.15,35.1199,-36.2953,-47.9912,TENTATIVE
0.1,5,12.5027,8007.31,2986.26,-0.724568,-90.0296,-32.6147,TENTATIVE
0.1,6,387.044,3688.67,127.639,-14.4221,-137.448,-4.75609,TENTATIVE
0.1,7,-4544.65,419.515,3855.49,-84.7034,7.81893,71.8588,TENTATIVE
0.1,8,5009.46,4330.77,3845.1,-16.446,-14.2179,-12.6234,TENTATIVE
0.2,1,-52.5662,4959.97,3042.84,3.76537,-3.43111,-3.63064,TENTATIVE
0.2,2,-1442.5,867.633,911.122,-77.8002,46.7951,49.1407,TENTATIVE
0.2,3,581.469,6060.96,912.8,-13.9805,-145.726,-21.9468,TENTATIVE
0.2,4,-5317.51,5495.49,7266.35,35.1199,-36.2953,-47.9912,TENTATIVE
0.2,5,12.4302,7998.31,2983,-0.724568,-90.0296,-32.6147,TENTATIVE
0.2,6,385.602,3674.92,127.163,-14.4221,-137.448,-4.75609,TENTATIVE
0.2,7,-4553.12,420.296,3862.68,-84.7034,7.81893,71.8588,TENTATIVE
0.2,8,5007.82,4329.35,3843.84,-16.446,-14.2179,-12.6234,TENTATIVE
0.4,1,-37.5289,4963.27,3035.82,22.8448,1.66766,-11.6442,TENTATIVE
0.4,2,-1458.06,876.992,920.95,-77.8002,46.7951,49.1407,TENTATIVE
0.4,3,578.673,6031.82,908.411,-13.9805,-145.726,-21.9468,TENTATIVE
0.4,4,-5310.48,5488.23,7256.76,35.1199,-36.2953,-47.9912,TENTATIVE
0.4,5,13.6297,7979.64,2978.24,1.12573,-90.9364,-30.1911,TENTATIVE
0.4,6,382.717,3647.43,126.212,-14.4221,-137.448,-4.75609,TENTATIVE
0.4,7,-4570.06,421.86,3877.05,-84.7034,7.81893,71.8588,TENTATIVE
0.4,8,5004.53,4326.5,3841.31,-16.446,-14.2179,-12.6234,TENTATIVE
0.6,1,-13.4628,4968.93,3024.95,48.0403,8.59114,-22.7429,TENTATIVE
0.6,2,-1473.62,886.351,930.778,-77.8002,46.7951,49.1407,TENTATIVE
0.6,3,575.877,6002.67,904.022,-13.9805,-145.726,-21.9468,TENTATIVE
0.6,4,-5303.46,5480.97,7247.16,35.1199,-36.2953,-47.9912,TENTATIVE
0.6,5,20.7766,7958.79,2979.29,9.94288,-94.2821,-21.2855,TENTATIVE
0.6,6,379.833,3619.94,125.261,-14.4221,-137.448,-4.75609,TENTATIVE
0.6,7,-4587,423.424,3891.42,-84.7034,7.81893,71.8588,TENTATIVE
0.6,8,5001.24,4323.66,3838.79,-16.446,-14.2179,-12.6234,TENTATIVE
0.8,1,34.5513,4976.16,3010.89,92.3539,14.6566,-33.1591,TENTATIVE
0.8,2,-1489.18,895.71,940.606,-77.8002,46.7951,49.1407,TENTATIVE
0.8,3,573.081,5973.52,899.632,-13.9805,-145.726,-21.9468,TENTATIVE
0.8,4,-5296.43,5473.71,7237.56,35.1199,-36.2953,-47.9912,TENTATIVE
0.8,5,25.7941,7939.3,2976.71,13.2305,-94.9713,-19.4717,TENTATIVE
0.8,6,376.948,3592.45,124.309,-14.4221,-137.448,-4.75609,TENTATIVE
0.8,7,-4603.94,424.988,3905.79,-84.7034,7.81893,71.8588,TENTATIVE
0.8,8,4997.95,4320.82,3836.26,-16.446,-14.2179,-12.6234,TENTATIVE
1,1,62.1008,4981.16,3000.42,101.315,16.6741,-36.8606,TENTATIVE
1,2,-1504.74,905.069,950.434,-77.8002,46.7951,49.1407,TENTATIVE
1,3,570.285,5944.38,895.243,-13.9805,-145.726,-21.9468,TENTATIVE
1,4,-5289.41,5466.45,7227.96,35.1199,-36.2953,-47.9912,TENTATIVE
1,5,44.0216,7916.66,2982.29,27.7658,-98.3175,-10.7599,TENTATIVE
1,6,374.064,3564.96,123.358,-14.4221,-137.448,-4.75609,TENTATIVE
1,7,-4620.88,426.552,3920.16,-84.7034,7.81893,71.8588,TENTATIVE
1,8,4994.66,4317.97,3833.74,-16.446,-14.2179,-12.6234,TENTATIVE
1.1,1,84.8947,4987.7,2999.82,112.959,21.2766,-33.9545,TENTATIVE
1.1,2,-1512.52,909.748,955.348,-77.8002,46.7951,49.1407,TENTATIVE
1.1,3,568.886,5929.81,893.048,-13.9805,-145.726,-21.9468,TENTATIVE
1.1,4,-5285.9,5462.82,7223.16,35.1199,-36.2953,-47.9912,TENTATIVE
1.1,5,46.0669,7911.72,2983.53,27.1374,-93.8223,-8.66529,TENTATIVE
1.1,6,372.622,3551.22,122.883,-14.4221,-137.448,-4.75609,TENTATIVE
1.1,7,-4629.35,427.333,3927.35,-84.7034,7.81893,71.8588,TENTATIVE
1.1,8,4993.02,4316.55,3832.48,-16.446,-14.2179,-12.6234,TENTATIVE
1.3,1,113.857,4993.96,2989.23,118.001,22.838,-36.8941,TENTATIVE
1.3,2,-1528.08,919.107,965.176,-77.8002,46.7951,49.1407,TENTATIVE
1.3,3,566.09,5900.66,888.659,-13.9805,-145.726,-21.9468,TENTATIVE
1.3,4,-5278.87,5455.56,7213.56,35.1199,-36.2953,-47.9912,TENTATIVE
1.3,5,69.8127,7892.3,2983.08,40.9502,-94.3353,-7.64964,TENTATIVE
1.3,6,369.737,3523.73,121.931,-14.4221,-137.448,-4.75609,TENTATIVE
1.3,7,-4646.29,428.897,3941.72,-84.7034,7.81893,71.8588,TENTATIVE
1.3,8,4989.73,4313.71,3829.95,-16.446,-14.2179,-12.6234,TENTATIVE
1.5,1,142.771,4995.88,2985.95,121.77,21.0252,-34.0698,TENTATIVE
1.5,2,-1543.64,928.467,975.005,-77.8002,46.7951,49.1407,TENTATIVE
1.5,3,563.294,5871.52,884.27,-13.9805,-145.726,-21.9468,TENTATIVE
1.5,4,-5271.85,5448.3,7203.97,35.1199,-36.2953,-47.9912,TENTATIVE
1.5,5,78.0027,7873.43,2981.55,40.9502,-94.3353,-7.64964,TENTATIVE
1.5,6,366.853,3496.24,120.98,-14.4221,-137.448,-4.75609,TENTATIVE
1.5,7,-4663.24,430.461,3956.09,-84.7034,7.81893,71.8588,TENTATIVE
1.5,8,4986.44,4310.86,3827.43,-16.446,-14.2179,-12.6234,TENTATIVE
1.6,1,157.823,4996.17,2985.39,123.717,19.833,-32.1805,TENTATIVE
1.6,2,-1551.42,933.146,979.919,-77.8002,46.7951,49.1407,TENTATIVE
1.6,3,561.896,5856.94,882.075,-13.9805,-145.726,-21.9468,TENTATIVE
